department,level,sem,code,type,title,description,mcs,prerequisites,preclusions,corequisites,hrs,remarks
MA,6,1,MA6131,Core (Major),Advanced Statistics,"This demanding and rigorous course is a continuation of the previous statistics course. Topics include t-distribution and chi-square distribution. Estimation, test of significance, correlation and linear regression will be revisited at a deeper level. Design of experiments and survey methodology will also be covered.",5,MA5132,,,5,
MA,6,2,MA6132,Core (Major),Advanced Math II,This module revisits concepts covered in earlier Advanced Mathematics modules and extends it further. Students will learn to solve 3D vectors problem involving lines and planes. The use of De Moivre’s theorem to find the nth roots of a complex number and toprove mathematical results will also be covered. Theory of equations (up to degree 4) and recurrence relations will be taught too.,5,"MA4132, MA5131",,,5,
MA,6,1,MA6431,Honours,Honours Calculus,"This demanding and rigorous Honours course exposes students to advanced applications of calculus involving parametric, polar and vector functions as well as polynomial approximations and convergence of series. Formal definitions of continuity and differentiability are also introduced. This module is more than sufficiently prepared to take the AP Calculus BC examination. Those who are keen may also try for the NUS Advanced Placement Credit Exam in Calculus.",2,MA5432,,,2,+ Students majoring with Honours in Mathematics must complete at least 8 MCs of the Honours Modules.
MA,6,1,MA6431V,Honours in lieu,NUS/MA2002 Calculus,"This is an NUS Module in-lieu of NUSHS Honours Calculus Module. This is a course in single-variable calculus which will introduce precise definitions of limit, continuity, the derivative and the Riemann integral.  Students will be exposed to computational techniques and applications of differentiation and integration.  This course concludes with an introduction to first order differential equations.",4,"MA5131, Department Approval",Student can only take MA6431 or MA6431V to fulfil math honours program.,,4,"In order to fulfil Math Honours, a student must take: 1.MA5431V (4MC) and MA6431V (4MC), OR  2.MA5431 (2MC) and MA6431V (4MC) and MA6432/MA6433 (2MC), OR  3.MA5431 (2MC), MA5432 (2MC) and MA6431V (8MC)  A total of 8 MC."
MA,6,2,MA6432,Honours,Numerical Analysis,"This module covers a variety of numerical approaches to find approximate solutions to problems that are not open to the analytical approach. Concepts covered include numerical solutions to linear equations, numerical estimation of definite integrals and solving differential equations numerically.",2,MA6431/MA6431V,,,2,+ Students majoring with Honours in Mathematics must complete at least 8 MCs of the Honours Modules. ^Students either take MA6432 or MA6433.
MA,6,2,MA6433,Honours,Graph Theory,"Graph Theory is a branch of discrete mathematics which deals with discrete objects and quantities and has wide applications, particularly in computer science and engineering. In this module, students will learn the nature and properties of simple graphs, and different types of graphs such as connected graphs, regular graphs, complete graphs, bipartite graphs and trees. They will also learn the application of graph theory including tournament, matching, and scheduling problems.",2,MA6431/MA6431V,,,2,+ Students majoring with Honours in Mathematics must complete at least 8 MCs of the Honours Modules. ^Students either take MA6432 or MA6433.
CS,1,2,CS1131,Core,Computational Thinking,"Computational thinking is taking an approach to solving problems, designing systems and understanding human behaviour that draws on fundamental concepts in computer science. This module consists of three main units: 1) Problem Solving, 2) Programming Principles & Concepts and 3) Data Skills. Students will be able to 1) Learn and apply a variety of problem-solving techniques to discover a solution to problems that are situated in a variety of contexts. 2) Understand basic programming principles and concepts such as iterations, conditionals and variables using turtle graphics. 3) Perform simple data cleaning, analysis and visualization using various functions in Excel and learn about the importance of data security.",2,None,,,2,
CS,2,1,CS2231,Elective,Introduction to Programming,"This elective will introduce to students basic programming principles and concepts. Students will learn about important programming concepts such as variables, data types, assignment statements and expressions, conditional statements, loops and list. Students who have completed the module would be able to write useful programs to solve problems.",2,CS1131,,,1.5,
CS,2,2,CS2233,Elective,Problem Solving in Computing,The aim of this module is to introduce students to the discipline of computing and to the problem solving process. Students will apply the programming concepts learnt to solve various problems.,2,CS2231,,,1.5,
CS,2,2,CS2331,Enrichment,Basic Introduction to Artificial Intelligence,"This module will allow students to develop the technical and social skills required in an AI-fueled world through interactive lessons that include games, Python programming activities, group discussions, and presentations. Important concepts such as the AI ethics & privacy will also be covered along with how AI can be used to create positive social impact. Students will be taught no-code tools to AI concepts to establish a strong systems thinking mindset, before working on code.",2,CS2231,,,1.5,
CS,3,1,CS3231,Elective,Object Oriented Programming I,"This module introduces the concepts of Object Oriented Programming (OOP) using Java. Topics include: Introduction to Java and OOP concepts, control flow, use of Java API, the use and design of classes and objects, use of Arrays & ArrayList, simple File IO & Exception handling, and creating Java GUI applications.",3,CS2231,,,3,# Students majoring in Computer Science (CS) in the Specialisation Years will have CS3231 and CS3233 reflected as CS3131 and CS3132 respectively as these electives will be converted to core modules for the CS Major and will be included in their CS Subject CAP.
CS,3,2,CS3233,Elective,Object Oriented Programming II,"This module is the second part of a two-part series on introductory programming from an object-oriented perspective. It continues the introduction to object-oriented programming begun in CS3204, with an emphasis on more advanced concepts in OOP (e.g. inheritance, abstraction, polymorphism). Students will also learn how to create a Graphical User Interface in Java (JavaFX, Graphics, Animation etc).",3,CS3231,,,3,# Students majoring in Computer Science (CS) in the Specialisation Years will have CS3231 and CS3233 reflected as CS3131 and CS3132 respectively as these electives will beconverted to core modules for the CS Major and will be included in their CS Subject CAP.
CS,3,2,CS3234,Elective,Informatics Olympiad Training II,"This module targets high ability computing students who are keen to prepare themselves rigorously for the National Informatics Olympiad competition. Advanced algorithmic topics such as dynamic programming, graph algorithms, greedy algorithms, trees etc are covered in this module.",2,CS3232,,CS3233,1.5,
CS,4,1,CS4131,Core (Major),Mobile Application Development,"This course introduces students to the design and implementation of Android applications for mobile devices. Students will develop an App from scratch, assuming a good knowledge of Java, and learn how to set up Android Studio, work with various Android building blocks (Activities, Services, Broadcast, etc) to create simple user interfaces to make Apps run smoothly. At the end of the course, students will learn skills for creating and deploying Android applications.",4,CS3233,,,3,
CS,4,2,CS4132,Core (Major),Data Analytics,"This module aims to allow students to understand the foundational skills in data analytics, including preparing and working with data; abstracting and modeling an analytic question; and using tools from statistics, learning and mining to address these questions. Students will study techniques for how to go from raw data to a deeper understanding of the patterns and structures within the data, to support making predictions and decision making.",4,CS4131,,,3,
CS,4,2,CS4133V,Core (Major),NUS/CS1010S Programming Methodology,"This module is offered by NUS School of Computing as CS1010S. This module introduces the fundamental concepts of problem solving by computing and programming using an imperative programming language. It is the first and foremost introductory course to computing. Topics covered include problem solving by computing, writing pseudo-codes, basic problem formulation and problem solving, program development, coding, testing and debugging, fundamental programming constructs (variables, types, expressions, assignments, functions, control structures, etc.), fundamental data structures: arrays, strings and structures, simple file processing, and basic recursion.",4,CS4131,,,4,* Students majoring with Honours in Computer Science and chosen to read Honours Track from NUS School of Computing (SoC) must read this module.
CS,4,2,CS4134V,Core (Major),DigiPen/CS170 (CSD1170): High Level Programming 2,"This course introduces the C++ language with particular emphasis on its object-oriented features. Topics include stylistic and usage differences between C and C++, namespaces, function and operator overloading, classes, inheritance, templates, and fundamental STL components.",4,CS4131,,,4,~ Students majoring with Honours in Computer Science and chosen to read Honours Track from DigiPen Institute of Technology Singapore must read this module.
CS,4,1,CS4231,Elective,Informatics Olympiad Training III,"This module targets high ability computing students who are keen to prepare themselves rigorously for the National Olympiad in Informatics. Advanced data structures such as fenwick tree, segment tree and advanced algorithms such as dynamic programming will be discussed in the module.",2,CS3234,,,1.5,
CS,4,2,CS4232,Elective,Data Analytics,"This module aims to allow students to understand the foundational skills in data analytics, including preparing and working with data; abstracting and modeling an analytic question; and using tools from statistics, learning and mining to address these questions. Students will study techniques for how to go from raw data to a deeper understanding of the patterns and structures within the data, to support making predictions and decision making.",4,CS4131,,,3,
CS,5,1,CS5131,Core (Major),Introduction to Artificial Intelligence,"This course aims to introduce techniques to build computers that are capable of exhibiting intelligent behavior.  It will cover a wide range of modern Artificial Intelligence topics including search, logic, knowledge representation etc. The module will provide students with an overview of the applications of Artificial Intelligence.",4,CS4132 or CS4133V or CS4134V,,,3,
CS,5,2,CS5132,Core (Major),Data Structures and Algorithms,"This module aims to introduce students to advanced data structures and algorithms in programming. Topics covered include: uses and implementations of abstraction and encapsulation through classic data structures (lists, stacks, queues, trees), basic algorithmic analysis, graph representation and various graph-search algorithms.",4,CS5131,,,3,
CS,5,1 or 2,CS5431V,Honours in lieu,NUS/CS1231 Discrete Structures,"This module is offered by NUS School of Computing as CS1231. This module introduces mathematical tools required in the study of computer science. Topics include: (1) Logic and proof techniques: propositions, conditionals, quantifications. (2) Relations and Functions: Equivalence relations and partitions. Partially ordered sets. Well-Ordering Principle. Function equality. Boolean/identity/inverse functions. Bijection. (3) Mathematical formulation of data models (linear model, trees, graphs). (4) Counting and Combinatoric: Pigeonhole Principle. Inclusion-Exclusion Principle. Number of relations on a set, number of injections from one finite set to another, Diagonalisation proof: An infinite countable set has an uncountable power set; Algorithmic proof: An infinite set has a countably infinite subset. Subsets of countable sets are countable.",4,CS4133V,,,4,# Students majoring with Honours in Computer Science and chosen to read Honours Track from NUS School of Computing (SoC) must read at least 2 options.
CS,5,1 or 2,CS5433V,Honours in lieu,DigiPen/CS175 (UXG1175) Scripting Language,"This module is offered by DigiPen Institute of Technology Singapore as UXG1175. Topics may include classes, inheritance, interfaces, polymorphism, and data structures. This module covers the concepts and implementation strategies for using high-level scripting languages in game development. Students will focus on object-oriented programming, high-level English like structure, speed of development, and ease of use. The module includes a survey of commercial languages, as well as proprietary scripting languages from industry applications. Students will examine the process of conceptualizing a syntax for a game-based scripting language and examine how such a language is compiled and interpreted by a game engine. Using the syntax they have created, they will create a number of scripts that could be used in a game. Additionally, the class will cover such relevant topics as data-driven technology, modular coding, function calls, and procedures.",4,CS4134V,,,4,^ Students majoring with Honours in Computer Science and chosen to read Honours Track from DigiPen Institute of Technology Singapore must read at least 2 options.
CS,6,1,CS6131,Core (Major),Database Design,"This module aims to equip students with the fundamental concepts of database design. The module covers data definition and modeling, database access and command languages, and design and implementation in the context of the relational database model.",4,CS5132,,,3,
CS,6,2,CS6132,Core (Major),Computer Networking & Security,"This module aims to equip students with the fundamental concepts of computer networking. Students will acquire the basic knowledge of data transmission, TCP/IP protocol architecture, local area network technologies, wireless network and concept of network routing and forwarding. It also teaches the basic concepts and principles of information security, and the fundamental approaches to secure computers and networks.",4,CS6131,,,3,
CS,6,1 or 2,CS6431V,Honours in lieu,NUS/CS2100 Computer Organisation,"This module is offered by NUS School of Computing as CS2100. The objective of this module is to familiarise students with the fundamentals of computing devices. Through this module students will understand the basics of data representation, and how the various parts of a computer work, separatelyand with each other. This allows students to understand the issues in computing devices, and how these issues affect the implementation of solutions. Topics covered include data representation systems, combinational and sequential circuit design techniques, assembly language, processor execution cycles, pipelining, memory hierarchy and input/output systems.",4,CS4133V,,,4,# Students majoring with Honours in Computer Science and chosen to read HonoursTrack from NUS School of Computing (SoC) must read at least 2 options.
CS,6,1 or 2,CS6432V,Honours in lieu,NUS/CS2106 Introduction to Operating Systems,"This module is offered by NUS School of Computing as CS2106. This module introduces the basic concepts in operating systems and links it with contemporary operating systems (e.g. Unix/Linux and Windows). It focuses on OS structuring and architecture, processes, memory management, concurrency and file systems. Topics include kernel architecture, system calls, interrupts, models of processes, process abstraction and services, scheduling, review of physical memory and memory management hardware, kernel memory management, virtual memory and paging, caches, working set, deadlock, mutual exclusion, synchronization mechanisms, data and metadata in file systems, directories and structure, file system abstraction and operations. Examples will be discussed from contemporary operating systems such as Unix/Linux and/or Windows.",4,CS6431V,,,4,# Students majoring with Honours in Computer Science and chosen to read Honours Track from NUS School of Computing (SoC) must read at least 2 options.
CS,6,1 or 2,CS6433V,Honours in lieu,DigiPen/CS180 (CSD2180) Operating Systems I: ManMachine Interface,"This module is offered by DigiPen Institute of Technology Singapore as CSD2180. This course presents an overview of modern operating systems as implemented on personal computers. It presents an overview of what an operating system is and does, with emphasis on the following topics: organization and design, process management, threading, interprocess communication, process synchronization, and memory management.",4,CS4134V,,,4,^ Students majoring with Honours in Computer Science and chosen to read Honours Track from DigiPen Institute of Technology Singapore must read at least 2 options.
CS,6,1 or 2,CS6434V,Honours in lieu,DigiPen/CS230 (CSD1130) Game Implementatio n Techniques,"This module is offered by DigiPen Institute of Technology Singapore as CSD1130. This presents game implementation techniques and engine architecture. Students investigate foundational concepts of game architecture, such as game-system component separation and game flow, while learning about essential elements such as the game state manager, input/ output handler, and frame rate controller. CSD1130 introduces Windows programming, state machines, and collision detection algorithms, which students will integrate into their own remakes of classic games. As part of their implementation, students create and expand their own collision, vector, and matrix libraries, enabling them to incorporate basic physics engines. Students survey concepts in space partitioning, particle systems, map editors, and other elements as a bridge to more advanced concepts in implementation techniques and engine architecture.",4,CS4134V,,,4,^ Students majoring with Honours in Computer Science and chosen to read Honours Track from DigiPen Institute of Technology Singapore must read at least 2 options.
CS,6,1 or 2,CS6435V,Honours in lieu,DigiPen/CS200 (CSD2100) Introduction to Computer Graphics,"This module is offered by DigiPen Institute of Technology Singapore as CSD2100. This module is an introduction to Computer Graphics. It covers the algorithms and mathematical fundamentals needed to generate and render 2D and 3D scenes. The topics include the introduction to graphics pipeline, 2D and 3D coordinate systems and their transformations, homogeneous coordinates and perspective calculations, scan-conversion and depth algorithms, and basic clipping and culling techniques.",4,CS4134V,,,4,^ Students majoring with Honours in Computer Science and chosen to read Honours Track from DigiPen Institute of Technology Singapore must read at least 2 options.
BL,1,1 and 2,BL1131,Core,Foundations in Biology I,"This is a year-long module that aims to develop students’ theoretical and practical competencies in biology, so that they will build a strong foundation, encompassing both breadth and depth, on which to further their studies in biology through the course of the NUS High curriculum. The module begins with a macro perspective of life by getting students to explore how biotic and abiotic factors may influence the diversity and distribution of organisms, and discuss ethical issues related to the environment. Next, students will zoom into the study of the building blocks of life – cells. In order to support life, movement of biological molecules into and out of cells must occur – therefore mechanisms through which this can be facilitated are also subsequently studied. The biological molecules that move in and out of cells are also studied in detail; and students will also carry out investigations regarding how these substances can be identified. Lastly, students will explore the fate of biological molecules in both animal and plant systems with regards to nutrition. Three biological themes are addressed at various points during the module: the correlation between structure and function, the relation between a system and its parts, as well as the flow of energy through biological units. The discussion of bioethical issues is also infused at appropriate points. At the end of the module, it is hoped that students will be inspired to develop a passion for biology through acquiring a deep understanding of the concepts taught and awareness of their applications to daily life, through frequent hands-on activities designed to develop practical skills in a scaffolded manner, as well as through excursions and discussions.",4,None,,,2,Year long module
BL,1,2,BL1231,Elective,Applied Cell Biology,"This module expands on the foundation knowledge that students have acquired in their core module in Semester 2 which focuses on Cell Biology. For this module, students will learn about the need for a hierarchical classification of living organisms. Detailed knowledge and hands-on practicals for Bacteria and Protists will be covered. Examples of commonly encountered during daily life will be highlighted in class. Lab practicals and live specimens will help students reinforce the knowledge acquired in class.",2,Department Approval,,,1.5,First introduced in 2019 Sem 2; to be continued for subsequent years/graduatin g classes
BL,2,1 and 2,BL2131,Core,Foundations in Biology II,"This year-long module will continue to equip students with the basic foundational knowledge required to learn biology at a more advanced level subsequently. The main topics that are covered in this module include transport and reproduction in flowering plants and humans, as well as respiration, excretion and homeostasis in humans. Where appropriate, various bioethical issues and laboratory experimentation will be covered at suitable junctures throughout the module. Laboratory practical sessions will serve to enhance students’ learning and understanding.",6,BL1131,,,3,Year long module
BL,2,1,BL2231,Elective,Biology Olympiad Training I,This module is designed for Year 2 students who are selected due to their excellent performance in biology modules. These students will explore some challenging concepts not taught in the core modules. Students can expect rigorous training in a wide range of biology topics as well as answering techniques. Students will be encouraged to take part in various biology competitions where appropriate. This module is by invitation only.,2,Department Approval,,,1.5,
BL,2,2,BL2232,Elective,Biology Olympiad Training II,This module is for students who have done well for BL2231. It is also open to Year 2 students whose Semester 1 performance in BL2131 is consistently excellent. These students will continue to explore some challenging concepts not taught inthe core modules. Students can expect rigorous training in a wide range of biology topics as well as answering techniques. Students will be encouraged to take part in various biology competitions when appropriate. This module is by invitation only.,2,Department Approval,,,1.5,
BL,2,1 and 2,BL2331,Enrichment,Introduction to Food Science,"This module expands on the foundation knowledge that students have acquired in BL1131, as nutrition and food science are intimately related in various aspects. This module will allow students to learn the scientific principles underlying how food is produced, processed, prepared and evaluated.  The concepts taught will be illustrated through a series of hands-on experiments involving food preparation and food evaluation, which can enhance students’ understanding and appreciation of the concepts in an experiential manner.",2,BL1131,,,1.5,
BL,3,1 and 2,BL3131,Core,Foundations in Biology III,"After acquiring the basic foundational knowledge in biology in Year 1 and 2, students will move on to learn about the human nervous, endocrine and excretory systems,. In addition, how cell divides by mitosis and meiosis will also be covered before students learn about the concepts of inheritance and genetic variation. For the section on molecular genetics, the structure of DNA and its role in protein synthesis, genes, genetic engineering and medical biotechnology will be covered. The last part of the module focuses on in-depth study of the cell and molecules of life. It includes the cell theory, the functions of membrane systems and organelles in cells, the structure of a typical bacterial cell, the structures of biomolecules and their functions, the structural components of viruses, as well as the fluid mosaic model of membrane structure. Where appropriate, various bioethical issues and laboratory experimentation will be covered at suitable junctures throughout the module.",6,BL2131,,,3,Year long module
BL,3,1,BL3231,Elective,Biology Olympiad Training III,"This module is designed for students who like to challenge themselves with the difficult concepts in biology. They will learn additional topics and explore the concepts beyond what they have covered in their Year 3 core biology modules in greater depth. It also prepares them for the UK Biology Challenge that is opened to all students who are 13 to 15 years old, as well as the Singapore Junior Biology Olympia (SJBO) that is opened to Year 2 to 4 students. This module is by invitation only.",2,Department Approval,,,1.5,
BL,3,2,BL3232,Elective,Biology Olympiad Training IV,This module is for students who have done well in BL3231. It is also open to Year 3 students whose Semester 1 performance in BL3131 is consistently excellent. These students will explore some challenging concepts not taught in the core modules. Students can expect rigorous training in biology topics that will prepare them for the following year’s biology competitions. This module is by invitation only.,2,Department Approval,,,1.5,
BL,3,1,BL3331,Enrichment,Foundations In General Biology,"This is a bridging module offered to the yearly intake of new Year 3 students. Students will be equipped with foundational knowledge from core content such as ecology, basic cell biology, and basic physiology through mass lectures. In addition, a key emphasis in the second half of the module will be the development and familiarization of hands-on biological skills that will equip students in studying biology in their senior high years. Laboratory skills involving microscopy, microbiology and physiology techniques will be taught.",2,None,,,1.5,Bridging module (For new Yr 3 intake only)
BL,4,1 and 2,BL4131,Core (Major),Advanced Biology I,"Based on the foundation that students have built in the lower years, this module will explore various biological topics in greater depth. The topics covered include mode of action of enzymes, stem cells, eukaryotic chromatin, genetics of viruses and bacteria, genome organization, control of gene expression, mutations, cancer biology, energy and equilibrium, as well as biological evolution. Whereappropriate, various bioethical issues and laboratory experimentation will be covered at suitable junctures throughout the module.",8,BL3131,,,4,Year long module
BL,4,1,BL4231,Elective,Biology Olympiad Training V,This module is designed for Year 4 students who are selected due to their consistently excellent performance in their previous years’ biology modules. They will be trained for the Singapore Junior Biology Olympiad (SJBO) in this module. Students can expect rigorous training in topics that are not taught in the core modules. This module is by invitation only.,2,Department Approval,,,1.5,
BL,4,2,BL4232,Elective,Biology Olympiad Training VI,This module is for students who have done well for BL4232 or those whose Semester 1 performance in BL4131 is consistently excellent. Students will be rigorously trained in topics of biology that are not covered in the core modules. The training is an important preparation for the Singapore Biology Olympiad (SBO) in the following year. This module is by invitation only.,2,Department Approval,,,1.5,
BL,5,1 and 2,BL5131,Core (Major),Advanced Biology II,"This module builds on what students have learnt from BL4131, Advanced Biology I. Students will deepen their understanding of various advanced level biological topics which they will be exploring in a rigorous manner. The module deepens students’ understanding of the following fields: ecology, physiology, genetics, and cytology. Students’ knowledge of biochemistry, evolution and biodiversity is also strengthened and broadened through the infusion of concepts and ideas from these fields throughout the module. Focus is deliberately placed on the applications of concepts learnt within the module to issues encountered in daily life or at the national and global level, which involves the consideration of other disciplines. Besides cross-disciplinary links, the module also focuses on drawing links between the different fields of biology. The module begins by introducing students to the ecology curriculum unique to NUS High School. It also covers immunology and infectious diseases, DNA technology, neuronal signalling, and ethology and its applications. Through the module, the big idea of evolutionary pressures and the trade-offs between different evolutionary strategies, across the different topics, is emphasised. Where appropriate, various bioethical issues will also be explored. Besides field work, students will also be given the opportunity to experience the following in a hands-on manner: running statistical simulations and analyses using ICT tools, simulating intra-specific and inter-specific competition, carrying out gene cloning, using ELISA to diagnose HIV, and measuring the effect of neuromodulators on action potentials generated in the nervous system of a cricket.",8,BL4131,,,4,Year long module
BL,5,1,BL5231,Elective,Biology Olympiad Training VII,This module is designed for students who are selected due to their consistently excellent performance in their previous years’ biology modules. They will be trained for the Singapore Biology Olympiad (SBO) in this module. Students can expect rigorous training in a wide range of biology topics as well as answering techniques. This module is by invitation only.,2,Department Approval,,,1.5,
BL,5,2,BL5232,Elective,Biology Olympiad Training VIII,"This module is for students who have done well for BL5231 or those who are invited to read it due to their consistently excellent performance in their Year 5 biology modules. They will go through rigorous preparation for the Singapore Biology Olympiad (SBO), which will be held at the end of the module in November and December. A final selection of students will be made in the course of this module and they will get to represent the school in the SBO.",2,Department Approval,,,1.5,
